19,1541900445948,0,0,26,18,54,14,25,0,0,16,0,0,0,0,0,0,0,30,21,18,24,22,19,50,0,30,21,9,12,4,2,27,0,0,0,0,0,0,0,39,0,8,4,47,5,10,0,0
21,1541900445967,0,0,17,18,22,9,17,25,0,9,0,0,0,0,0,0,0,15,31,19,25,12,16,10,0,35,18,25,1,0,0,18,0,0,0,0,0,0,0,24,0,20,1,40,18,30,9,0
17,1541900445964,0,0,13,14,19,1,17,24,0,32,0,0,0,0,0,0,0,19,22,6,21,21,6,8,0,26,23,27,16,2,0,0,0,0,0,0,0,0,0,11,0,48,3,16,11,7,21,0
18,1541900445972,0,0,5,16,13,9,23,1,0,24,0,0,0,0,0,0,3,22,22,16,6,15,31,11,0,17,29,4,4,17,6,24,0,0,0,0,0,0,0,18,0,0,0,56,2,10,22,0
19,1541900445988,0,0,26,17,54,15,25,0,0,15,0,0,0,0,0,0,0,31,21,17,23,23,20,49,0,30,21,8,12,4,1,27,0,0,0,0,0,0,0,39,0,8,5,48,5,9,0,0
21,1541900446007,0,0,18,19,22,8,17,26,0,9,0,0,0,0,0,0,0,16,31,19,26,12,17,10,0,35,18,26,1,0,0,18,0,0,0,0,0,0,0,24,0,20,1,40,19,31,9,0
17,1541900446004,0,0,13,14,18,1,17,24,0,33,0,0,0,0,0,0,0,18,22,7,23,20,8,7,0,26,23,27,16,2,0,0,0,0,0,0,0,0,0,12,0,47,3,16,12,7,22,0
18,1541900446032,0,0,5,16,13,9,23,1,0,25,0,0,0,0,0,0,2,22,21,16,6,15,30,11,0,18,29,4,4,17,6,24,0,0,0,0,0,0,0,18,0,0,0,56,2,10,22,0
19,1541900446028,0,0,26,17,54,15,25,0,0,15,0,0,0,0,0,0,0,31,21,17,22,23,20,49,0,30,21,9,12,4,1,27,0,0,0,0,0,0,0,39,0,8,5,48,5,10,0,0
21,1541900446047,0,0,17,19,22,9,16,25,0,11,0,0,0,0,0,0,0,15,31,20,26,11,16,10,0,35,18,26,1,0,0,18,0,0,0,0,0,0,0,24,0,21,1,40,19,31,9,0
17,1541900446044,0,0,12,15,18,1,17,24,0,34,0,0,0,0,0,0,0,18,22,6,21,21,8,7,0,26,23,26,16,2,0,0,0,0,0,0,0,0,0,12,0,48,3,16,12,6,22,0
18,1541900446072,0,0,4,15,13,9,23,1,0,25,0,0,0,0,0,0,3,23,21,15,6,16,31,11,0,17,29,4,4,18,5,24,0,0,0,0,0,0,0,18,0,0,0,56,2,10,22,0
19,1541900446068,0,0,25,17,54,15,25,0,0,18,0,0,0,0,0,0,0,30,21,18,23,22,20,50,0,30,21,9,12,4,1,27,0,0,0,0,0,0,0,38,0,8,4,48,5,9,0,0
21,1541900446087,0,0,17,20,22,8,16,26,0,12,0,0,0,0,0,0,0,16,31,19,25,11,16,11,0,35,18,25,1,0,0,17,0,0,0,0,0,0,0,25,0,20,1,40,18,31,9,0
17,1541900446084,0,0,12,14,18,0,18,24,0,34,0,0,0,0,0,0,0,18,22,7,21,21,7,8,0,26,23,26,16,2,0,0,0,0,0,0,0,0,0,11,0,48,2,16,12,7,22,0
18,1541900446112,0,0,5,16,13,9,23,1,0,26,0,0,0,0,0,0,2,22,21,16,6,15,30,12,0,18,28,4,4,18,6,24,0,0,0,0,0,0,0,18,0,0,0,56,2,10,21,0
19,1541900446108,0,0,26,17,54,14,25,0,0,15,0,0,0,0,0,0,0,31,21,18,23,23,20,50,0,30,21,9,12,4,2,28,0,0,0,0,0,0,0,39,0,8,5,48,6,9,0,0
21,1541900446127,0,0,17,19,22,9,16,26,0,10,0,0,0,0,0,0,0,16,31,19,27,12,16,9,0,35,18,26,1,0,0,18,0,0,0,0,0,0,0,24,0,20,1,39,19,31,9,0
17,1541900446124,0,0,13,15,19,1,17,24,0,33,0,0,0,0,0,0,0,18,22,6,21,20,7,7,0,26,23,27,16,2,0,0,0,0,0,0,0,0,0,10,0,47,2,16,12,7,22,0
18,1541900446152,0,0,5,16,13,9,24,1,0,24,0,0,0,0,0,0,3,22,22,15,6,15,30,11,0,17,28,4,4,17,6,24,0,0,0,0,0,0,0,18,0,0,0,56,2,10,22,0
19,1541900446148,0,0,26,18,54,15,26,0,0,16,0,0,0,0,0,0,0,30,20,18,23,21,19,50,0,30,20,9,12,4,2,27,0,0,0,0,0,0,0,39,0,8,4,47,5,10,0,0
